Email_MD5,Purchase_Date,EmailMD5,Delivered_Date,Creative
a97b5b4d89234057e4dc3c51d485ee48,7/7/2021,a97b5b4d89234057e4dc3c51d485ee48,7/5/2021,Creative2
db3eaa34a7ce95c8c7a908cf7a11271a,7/5/2021,db3eaa34a7ce95c8c7a908cf7a11271a,7/2/2021,Creative2
166489871a171fc041d5d2f7b41c81e4,7/6/2021,166489871a171fc041d5d2f7b41c81e4,7/5/2021,Creative3
38953a0f8ddf8a7025ac5996220346db,7/10/2021,38953a0f8ddf8a7025ac5996220346db,7/7/2021,Creative3
b5942407b10bc6fe04dea6edb1f791c2,7/8/2021,b5942407b10bc6fe04dea6edb1f791c2,7/6/2021,Creative3
810087c9a6a1dbb453bf69a4c5d4f736,7/4/2021,810087c9a6a1dbb453bf69a4c5d4f736,7/2/2021,Creative3
2282b051d883329f2df2ab394039ed37,7/4/2021,2282b051d883329f2df2ab394039ed37,7/1/2021,Creative1
9bbc0fab78d4d5e57801ce6c92ca868c,7/5/2021,9bbc0fab78d4d5e57801ce6c92ca868c,7/5/2021,Creative3
12e08d4d1fbef2a0bf21806955896e37,7/7/2021,12e08d4d1fbef2a0bf21806955896e37,7/6/2021,Creative3
12e08d4d1fbef2a0bf21806955896e37,7/9/2021,12e08d4d1fbef2a0bf21806955896e37,7/6/2021,Creative3
a1b23e864a837723101069bf14a0f2fe,7/6/2021,a1b23e864a837723101069bf14a0f2fe,7/3/2021,Creative3
8493bb3b0f39274756f78f54fd6a1b75,7/3/2021,8493bb3b0f39274756f78f54fd6a1b75,7/1/2021,Creative1
23e9c4a9d0780b9ed272ec830483579d,7/8/2021,23e9c4a9d0780b9ed272ec830483579d,7/7/2021,Creative2
e0477f2620f9356080fc7555dfa99625,7/1/2021,e0477f2620f9356080fc7555dfa99625,7/1/2021,Creative3
c8c874a2279e5d0aa3e675749e391f5f,7/2/2021,c8c874a2279e5d0aa3e675749e391f5f,7/2/2021,Creative1
414d21e9fc73b211dd671953fb7cb783,7/4/2021,414d21e9fc73b211dd671953fb7cb783,7/1/2021,Creative3
b130c81af8af6d4cc2c07ef04c1c1ab2,7/2/2021,b130c81af8af6d4cc2c07ef04c1c1ab2,7/2/2021,Creative1
e13244a0f2a007caee8ac06ef29bf2ba,7/2/2021,e13244a0f2a007caee8ac06ef29bf2ba,7/2/2021,Creative1
694d5e15c588e1f9c345a88801d999e3,7/4/2021,694d5e15c588e1f9c345a88801d999e3,7/3/2021,Creative2
6391487586719014308707b9e90a3518,7/9/2021,6391487586719014308707b9e90a3518,7/7/2021,Creative1
462a3d3bcfd64d52ffc24047f2e8c1ea,7/7/2021,462a3d3bcfd64d52ffc24047f2e8c1ea,7/7/2021,Creative3
ac62627ebb776266d606f0d4cb1723a0,7/4/2021,ac62627ebb776266d606f0d4cb1723a0,7/3/2021,Creative2
f3fbb27379570d552bba2c80a4b21024,7/5/2021,f3fbb27379570d552bba2c80a4b21024,7/2/2021,Creative3
5872187e6675dc86fa4930da95a079a6,7/2/2021,5872187e6675dc86fa4930da95a079a6,7/1/2021,Creative1
5872187e6675dc86fa4930da95a079a6,7/3/2021,5872187e6675dc86fa4930da95a079a6,7/1/2021,Creative1
113bca8418d3dd58703bc9c5e56d9683,7/7/2021,113bca8418d3dd58703bc9c5e56d9683,7/5/2021,Creative2
b67fd143fddd07e4ed8482da46d3c607,7/6/2021,b67fd143fddd07e4ed8482da46d3c607,7/6/2021,Creative3
f6d117d103533bf6017521b129f80377,7/3/2021,f6d117d103533bf6017521b129f80377,7/2/2021,Creative2
702bc66616d85c6e434dea86e46c912b,7/3/2021,702bc66616d85c6e434dea86e46c912b,7/2/2021,Creative3
